#{"t_start": 1786528689.3629901, "env_id": "None"}
r,l,t,true_completion_rate,cheat_rate,report_rate,audit_prob,steps_taken
2.45,150,1698.642416,0.0,1.0,0.7142857142857143,0.05,150
-19.6,150,1699.229955,0.33333333333333337,0.0,0.1111111111111111,0.05,150
2.45,150,1699.891658,0.11111111111111116,1.0,1.8888888888888888,0.05,150
4.6,150,1700.559279,0.25,0.85,1.25,0.05,150
0.55,150,1701.144082,0.07692307692307687,0.8888888888888888,0.6923076923076923,0.05,150
1.6,150,1701.627572,0.33333333333333337,0.7,1.1111111111111112,0.05,150
-18.6,150,1702.206068,0.26315789473684215,0.75,0.631578947368421,0.05,150
-17.35,150,1703.005564,0.11111111111111116,1.0,0.7222222222222222,0.05,150
0.4,150,1703.707846,0.09999999999999998,0.9,1.0,0.05,150
3.7,150,1704.21686,0.2857142857142857,0.84,1.7857142857142858,0.05,150
-6.65,150,1704.71645,0.07692307692307687,1.0,0.8461538461538461,0.05,150
3.2,150,1706.866155,0.11764705882352944,0.8461538461538461,0.7647058823529411,0.05,150
3.1,150,1707.388591,0.1578947368421053,0.8947368421052632,1.0,0.05,150
3.3,150,1707.891604,0.2142857142857143,0.8571428571428571,1.5,0.05,150
-23.95,150,1708.426368,0.0,1.0,0.7,0.05,150
2.35,150,1708.944742,0.0,1.0,1.3571428571428572,0.05,150
-13.0,150,1709.506431,0.0,1.0,0.4444444444444444,0.05,150
2.75,150,1709.977538,0.08333333333333337,0.9444444444444444,1.5,0.05,150
1.6,150,1710.461071,0.25,0.8,0.8333333333333334,0.05,150
0.4,150,1710.94007,0.0,1.0,0.8333333333333334,0.05,150
1.95,150,1711.486971,0.15384615384615385,0.8666666666666667,1.1538461538461537,0.05,150
1.8,150,1711.975806,0.09090909090909094,0.9444444444444444,1.6363636363636365,0.05,150
-21.35,150,1712.504593,0.0625,0.9166666666666666,0.75,0.05,150
2.9,150,1712.991091,0.08333333333333337,0.9285714285714286,1.1666666666666667,0.05,150
5.35,150,1713.633953,0.13043478260869568,0.9166666666666666,1.0434782608695652,0.05,150
1.5,150,1715.763533,0.09999999999999998,0.9,1.0,0.05,150
